aahe: aahed
aahi: aahing
aahs: aahs
liis: aaliis
aarg: aargh
rghh: aarrghh
aaru: aaru
bdeh: ababdeh
adej: abadejo
basg: abasgi
abav: abave
bbay: abbaye
bbev: abbevillian
bbog: abbogada
botn: abbotnullius
otnu: abbotnullius
tnul: abbotnullius
bboz: abbozzo
abce: abcess
bces: abcess
abci: abcissa
bdes: abdest
elmu: abelmusk
abep: abepithymia
rduv: aberduvine
isek: abhiseka
bhom: abhominable
bieg: abiegh
biez: abiezer
abip: abipon
blaq: ablaqueate
bluv: abluvion
bnak: abnaki
abnu: abnumerable
udik: aboudikro
dikr: aboudikro
euvo: abreuvoir
uvoi: abreuvoir
bsee: absee
absf: absfarad
bsfa: absfarad
absy: absyrtus
bsyr: absyrtus
absm: absmho
bsmh: absmho
smho: absmho
bsoh: absohm
sohm: absohm
orbt: absorbtion
rbti: absorbtion
btio: absorbtion
absv: absvolt
bsvo: absvolt
abte: abterminal
abtr: abtruse
ulye: abulyeit
bozu: aburabozu
bwab: abwab
iuso: accessoriusorii
cipt: accipter
cclo: accloy
ccoa: accoast
ditm: accreditment
ccts: accts
ccue: accueil
cuso: accusor
cedy: acedy
uiad: acequiador
cetb: acetbromamide
ylbi: acetylbiuret
lbiu: acetylbiuret
ylce: acetylcellulose
ylcy: acetylcyanide
tylf: acetylfluoride
ylfl: acetylfluoride
lflu: acetylfluoride
tylh: acetylhydrazine
tylr: acetylrosaniline
ylro: acetylrosaniline
lros: acetylrosaniline
ylta: acetyltannin
cetm: acetmethylanilide
hakz: achakzai
hluo: achluophobia
omaw: achomawi
hteh: achtehalber
cidp: acidproof
cmat: acmatic
cmis: acmispon
cmit: acmite
cned: acned
cnef: acneform
cnei: acneiform
uasm: acouasm
ouom: acouometer
ouop: acouophonia
acpt: acpt
scem: acquiescement
cquo: acquophonia
siea: acrasieae
obys: acrobystitis
actg: actg
ctut: actutate
cuae: acuaesthesia
cucl: acuclosure
uclo: acuclosure
cudu: acuductor
acxo: acxoyatl
cxoy: acxoyatl
xoya: acxoyatl
yatl: acxoyatl
dagy: adagy
damh: adamhood
daty: adaty
awlu: adawlut
wlut: adawlut
adaz: adazzle
addd: addda
ddda: addda
ddeb: addebted
ddim: addiment
ddnl: addnl
delg: adelges
deui: adeuism
euis: adeuism
dfec: adfected
dfix: adfix
adgl: adglutinate
dhoc: adhocracy
dinv: adinvention
dytt: adytta
jige: adjiger
adjt: adjt
djug: adjugate
dlay: adlay
dmax: admaxillary
dmer: admerveylle
veyl: admerveylle
admr: admrx
dmrx: admrx
dneu: adneural
adoz: adoze
dpao: adpao
dsce: adscendent
dtev: adtevac
dveh: advehent
visy: advisy
dvit: advitant
ocaa: advocaat
dvoy: advoyer
dvok: advoke
dvol: advolution
dvot: advoteresse
wsan: advowsance
advt: advt
wesc: adwesch
dzes: adzes
degi: aedegi
doeo: aedoeology
oeol: aedoeology
gicr: aegicrania
aeip: aeipathy
eolh: aeolharmonica
lskl: aeolsklavier
epyc: aepyceros
oyac: aeroyacht
afai: afaint
afde: afdecho
fdec: afdecho
fyda: affydavy
ydav: affydavy
afft: afft
afgo: afgod
fgod: afgod
afif: afifi
fiko: afikomen
ikaa: afrikaans
kaan: afrikaans
aans: afrikaans
rfut: afterfuture
fwil: afwillite
afze: afzelia
fzel: afzelia
agaw: agawam
agcy: agcy
hlab: aghlabite
gyie: agyieus
yieu: agyieus
gyio: agyiomania
yiom: agyiomania
gilm: agilmente
itpu: agitpunkt
tpun: agitpunkt
agki: agkistrodon
gkis: agkistrodon
laoz: aglaozonia
aozo: aglaozonia
noio: agnoiology
oiol: agnoiology
agoh: agoho
mmap: agrammaphasia
myza: agromyza
agtb: agtbasic
gtba: agtbasic
agud: agudist
gudi: agudist
agug: aguglia
aguj: agujon
gujo: agujon
ahaa: ahaaina
haai: ahaaina
huyu: ahantchuyuk
ahch: ahchoo
hcho: ahchoo
ahey: ahey
tokl: ahepatokla
ahet: ahet
msas: ahimsas
ahir: ahir
hluw: ahluwalia
luwa: ahluwalia
uwal: ahluwalia
ahnf: ahnfeltia
hnfe: ahnfeltia
ahoy: ahoy
usah: ahousaht
dahr: ahrendahronon
ahro: ahrendahronon
ahsa: ahsan
ahuu: ahuula
huul: ahuula
uula: ahuula
ahuc: ayahuca
aiaw: aiawong
iawo: aiawong
aidf: aidful
idfu: aidful
ayeg: ayegreen
ayel: ayelp
yenb: ayenbite
guie: aiguiere
ayyu: ayyubid
yyub: ayyubid
ikuc: aikuchi
ilsy: ailsyte
lsyt: ailsyte
imee: aimee
aimw: aimworthiness
irph: airphobia
ayrs: ayrshire
ssao: aissaoua
saou: aissaoua
aitk: aitkenite
utak: aitutakian
ayud: ayudante
yuda: ayudante
ayuy: ayuyu
yuyu: ayuyu
aivr: aivr
aywh: aywhere
aizl: aizle
ajaj: ajaja
ajat: ajatasatru
ajax: ajax
jenj: ajenjo
ajha: ajhar
jime: ajimez
imez: ajimez
ajit: ajitter
jonj: ajonjoli
ajut: ajutment
jutm: ajutment
akaa: akaakai
kaak: akaakai
aaka: akaakai
mnik: akamnik
neku: akanekunik
unik: akanekunik
azga: akazga
keak: akeake
keki: akeki
akhy: akhyana
khla: akhlame
akhr: akhrot
khro: akhrot
undz: akhundzada
dzad: akhundzada
iyen: akiyenik
akmi: akmite
kmit: akmite
akno: aknow
akpe: akpek
kpek: akpek
akre: akre
akrt: akrteria
krte: akrteria
aihi: alaihi
amiq: alamiqui
lbah: albahaca
basp: albaspidin
ertt: alberttype
rtty: alberttype
spyn: albespyne
lbet: albetad
lbia: albian
alby: albyn
lbyn: albyn
lbio: albion
albs: albs
niiz: albumeniizer
iize: albumeniizer
lbuq: albuquerque
buqu: albuquerque
uerq: albuquerque
lcaa: alcaaba
lcab: alcabala
azav: alcazava
alcm: alcmene
lcme: alcmene
lcoo: alcoothionic
rnoq: alcornoque
lcui: alcuinian
ldei: aldeia
ldok: aldoketene
lecs: alecs
lefn: alefnull
efnu: alefnull
fnul: alefnull
lefz: alefzero
efze: alefzero
fzer: alefzero
alej: alejandro
lekn: aleknight
ephz: alephzero
phze: alephzero
eppo: aleppo
ptei: alethopteis
xipy: alexipyretic
xius: alexius
alez: alezan
leza: alezan
lfaj: alfaje
lfet: alfet
gaec: algaecide
rsyf: algarsyf
lgaz: algazel
lgef: algefacient
gieb: algieba
lgio: algiomuscular
lgiv: algivorous
lgoc: algocyan
lgog: algogenic
uazi: alguazil
lhac: alhacena
lhet: alhet
bamu: alibamu
iyos: aliyos
liip: aliipoe
ypum: alypum
uots: aliquots
liun: aliunde
ljob: aljoba
ljof: aljofaina
jofa: aljofaina
edav: alkedavy
lkek: alkekengi
lkid: alkide
kide: alkide
kyds: alkyds
kyls: alkyls
kitr: alkitran
lkoo: alkool
oinu: allantoinuria
oxai: allantoxaidin
xaid: allantoxaidin
lelv: allelvia
llez: allez
lyic: allyic
lylt: allylthiourea
lyou: allyou
octh: allocthonous
oiog: alloiogenesis
rhyh: allorrhyhmia
hyhm: allorrhyhmia
yhmi: allorrhyhmia
ltud: alltud
cigo: almacigo
mehs: almehs
riit: almeriite
lmid: almida
lmiq: almique
ogav: almogavar
lmsd: almsdeed
msde: almsdeed
msfo: almsfolk
msmo: almsmoney
lmue: almuerzo
uerz: almuerzo
mury: almury
lnil: alnilam
lnir: alniresinol
lniv: alniviridol
lnoi: alnoite
lnui: alnuin
lnus: alnus
oesw: aloeswood
loew: aloewood
siit: aloisiite
lonz: alonzo
ekai: alopekai
lpax: alpax
ratz: alpheratz
pieu: alpieu
lpuj: alpujarra
lrau: alraun
alsb: alsbachite
smek: alsmekill
lsoo: alsoon
